goid,gid
GO:0055085,ATCC64974_29350-T1
GO:0005887,ATCC64974_29350-T1
GO:0005515,ATCC64974_29030-T1
GO:0006629,ATCC64974_29030-T1
GO:0008081,ATCC64974_29030-T1
GO:0003824,ATCC64974_29440-T1
GO:0010181,ATCC64974_29440-T1
GO:0055114,ATCC64974_29440-T1
GO:0016491,ATCC64974_29440-T1
GO:0055114,ATCC64974_21530-T1
GO:0009231,ATCC64974_21530-T1
GO:0008703,ATCC64974_21530-T1
GO:0008270,ATCC64974_24690-T1
GO:0006355,ATCC64974_24690-T1
GO:0000981,ATCC64974_24690-T1
GO:0005634,ATCC64974_24690-T1
GO:0008233,ATCC64974_22980-T1
GO:0006465,ATCC64974_22980-T1
GO:0016020,ATCC64974_22980-T1
GO:0008236,ATCC64974_22980-T1
GO:0016021,ATCC64974_22980-T1
GO:0002098,ATCC64974_21250-T1
GO:0033588,ATCC64974_21250-T1
GO:0004190,ATCC64974_23160-T1
GO:0006508,ATCC64974_23160-T1
GO:0006396,ATCC64974_21350-T1
GO:0009982,ATCC64974_21350-T1
GO:0001522,ATCC64974_21350-T1
GO:0009451,ATCC64974_21350-T1
GO:0003723,ATCC64974_21350-T1
GO:0005515,ATCC64974_27800-T1
GO:0005634,ATCC64974_27800-T1
GO:0140142,ATCC64974_27800-T1
GO:0006606,ATCC64974_27800-T1
GO:0005737,ATCC64974_27800-T1
GO:0061608,ATCC64974_27800-T1
GO:0003824,ATCC64974_26250-T1
GO:0005975,ATCC64974_26250-T1
GO:0015031,ATCC64974_23530-T1
GO:0030123,ATCC64974_23530-T1
GO:0006886,ATCC64974_23530-T1
GO:0030117,ATCC64974_23530-T1
GO:0016192,ATCC64974_23530-T1
GO:0009116,ATCC64974_20760-T1
GO:0003824,ATCC64974_20760-T1
GO:0055085,ATCC64974_24710-T1
GO:0005887,ATCC64974_24710-T1
GO:0046982,ATCC64974_22530-T1
GO:0045735,ATCC64974_28710-T1
GO:0055085,ATCC64974_28810-T1
GO:0005887,ATCC64974_28810-T1
GO:0003824,ATCC64974_29360-T1
GO:0020037,ATCC64974_25160-T1
GO:0055114,ATCC64974_25160-T1
GO:0016705,ATCC64974_25160-T1
GO:0005506,ATCC64974_25160-T1
GO:0055114,ATCC64974_27140-T1
GO:0016491,ATCC64974_27140-T1
GO:0008270,ATCC64974_25440-T1
GO:0006355,ATCC64974_25440-T1
GO:0000981,ATCC64974_25440-T1
GO:0005634,ATCC64974_25440-T1
GO:0015109,ATCC64974_22160-T1
GO:0015703,ATCC64974_22160-T1
GO:0004553,ATCC64974_22790-T1
GO:0005975,ATCC64974_22790-T1
GO:0008270,ATCC64974_27100-T1
GO:0006355,ATCC64974_27100-T1
GO:0000981,ATCC64974_27100-T1
GO:0005634,ATCC64974_27100-T1
GO:0030246,ATCC64974_24580-T1
GO:0003824,ATCC64974_24580-T1
GO:0005096,ATCC64974_23670-T1
GO:0008168,ATCC64974_27370-T1
GO:0008171,ATCC64974_27370-T1
GO:0006559,ATCC64974_20740-T1
GO:0055114,ATCC64974_20740-T1
GO:0006570,ATCC64974_20740-T1
GO:0004411,ATCC64974_20740-T1
GO:0009116,ATCC64974_27690-T1
GO:0055085,ATCC64974_29300-T1
GO:0005887,ATCC64974_29300-T1
GO:0016491,ATCC64974_23370-T1
GO:0055114,ATCC64974_23370-T1
GO:0055114,ATCC64974_23250-T1
GO:0016491,ATCC64974_23250-T1
GO:0020037,ATCC64974_23250-T1
GO:0055085,ATCC64974_25190-T1
GO:0005887,ATCC64974_25190-T1
GO:0009277,ATCC64974_29880-T1
GO:0005199,ATCC64974_29880-T1
GO:0055114,ATCC64974_24050-T1
GO:0048038,ATCC64974_24050-T1
GO:0009308,ATCC64974_24050-T1
GO:0008131,ATCC64974_24050-T1
GO:0005507,ATCC64974_24050-T1
GO:0005509,ATCC64974_21690-T1
GO:0006886,ATCC64974_28040-T1
GO:0008536,ATCC64974_28040-T1
GO:0003676,ATCC64974_23570-T1
GO:0000398,ATCC64974_28430-T1
GO:0005732,ATCC64974_28430-T1
GO:0000387,ATCC64974_28430-T1
GO:0005681,ATCC64974_28430-T1
GO:0016020,ATCC64974_30380-T1
GO:0005524,ATCC64974_30380-T1
GO:0055085,ATCC64974_30380-T1
GO:0016021,ATCC64974_30380-T1
GO:0042626,ATCC64974_30380-T1
GO:0016887,ATCC64974_30380-T1
GO:0003824,ATCC64974_25180-T1
GO:0016787,ATCC64974_25180-T1
GO:0055085,ATCC64974_23180-T1
GO:0022857,ATCC64974_23180-T1
GO:0016021,ATCC64974_23180-T1
GO:0003824,ATCC64974_21830-T1
GO:0005975,ATCC64974_21830-T1
GO:0030246,ATCC64974_21830-T1
GO:0008299,ATCC64974_27330-T1
GO:0016020,ATCC64974_29560-T1
GO:0022857,ATCC64974_29560-T1
GO:0055085,ATCC64974_29560-T1
GO:0016021,ATCC64974_29560-T1
GO:0008270,ATCC64974_22040-T1
GO:0006355,ATCC64974_22040-T1
GO:0000981,ATCC64974_22040-T1
GO:0005634,ATCC64974_22040-T1
GO:0003677,ATCC64974_22040-T1
GO:0006351,ATCC64974_22040-T1
GO:0055114,ATCC64974_22950-T1
GO:0016491,ATCC64974_22950-T1
GO:0055085,ATCC64974_22290-T1
GO:0005887,ATCC64974_22290-T1
GO:0003676,ATCC64974_22800-T1
GO:0005524,ATCC64974_22800-T1
GO:0035023,ATCC64974_30390-T1
GO:0005089,ATCC64974_30390-T1
GO:0006629,ATCC64974_26110-T1
GO:0016042,ATCC64974_26110-T1
GO:0003824,ATCC64974_23390-T1
GO:0030248,ATCC64974_28980-T1
GO:0005975,ATCC64974_28980-T1
GO:0005576,ATCC64974_28980-T1
GO:0005515,ATCC64974_30000-T1
GO:0003824,ATCC64974_26790-T1
GO:0005975,ATCC64974_26790-T1
GO:0055114,ATCC64974_22300-T1
GO:0016616,ATCC64974_22300-T1
GO:0003854,ATCC64974_22300-T1
GO:0006694,ATCC64974_22300-T1
GO:0071949,ATCC64974_26620-T1
GO:0005515,ATCC64974_25390-T1
GO:0016491,ATCC64974_26880-T1
GO:0004553,ATCC64974_22050-T1
GO:0005975,ATCC64974_22050-T1
GO:0003824,ATCC64974_22050-T1
GO:0003824,ATCC64974_30040-T1
GO:0007017,ATCC64974_30260-T1
GO:0005200,ATCC64974_30260-T1
GO:0005874,ATCC64974_30260-T1
GO:0005525,ATCC64974_30260-T1
GO:0003924,ATCC64974_30260-T1
GO:0003824,ATCC64974_25880-T1
GO:0030259,ATCC64974_29020-T1
GO:0016758,ATCC64974_29020-T1
GO:0005975,ATCC64974_29020-T1
GO:0008270,ATCC64974_27180-T1
GO:0006355,ATCC64974_27180-T1
GO:0000981,ATCC64974_27180-T1
GO:0005634,ATCC64974_27180-T1
GO:0003824,ATCC64974_26090-T1
GO:0016021,ATCC64974_22730-T1
GO:0016765,ATCC64974_22730-T1
GO:0016021,ATCC64974_30170-T1
